gender,age,pclass,embarked,fare,sibsp,parch,survived
male,42.0,3rd,Southampton,7.11,0,0,0
male,13.0,3rd,Southampton,20.05,0,2,0
male,16.0,3rd,Southampton,20.05,1,1,0
female,39.0,3rd,Southampton,20.05,1,1,1
female,16.0,3rd,Southampton,7.13,0,0,1
male,25.0,3rd,Southampton,7.13,0,0,1
male,30.0,2nd,Cherbourg,24.0,1,0,0
female,28.0,2nd,Cherbourg,24.0,1,0,1
male,27.0,3rd,Cherbourg,18.1509,0,0,1
male,20.0,3rd,Southampton,7.1806,0,0,1
male,30.0,3rd,Southampton,7.05,0,0,0
male,27.0,3rd,Southampton,8.01,0,0,0
female,40.0,3rd,Southampton,9.0906,1,0,0
male,0.8333333333,3rd,Southampton,9.07,0,1,1
female,18.0,3rd,Southampton,9.07,0,1,1
male,35.0,2nd,Southampton,13.0,0,0,0
male,25.0,3rd,Southampton,7.1709,0,0,0
male,19.0,3rd,Southampton,7.1806,0,0,0
male,24.0,3rd,Southampton,7.01,0,0,0
male,25.0,3rd,Southampton,7.01,0,0,0
female,29.0,1st,Southampton,211.6009,0,0,1
male,39.0,3rd,Southampton,8.01,0,0,0
male,0.9166666667,1st,Southampton,151.16,1,2,1
female,2.0,1st,Southampton,151.16,1,2,0
male,30.0,1st,Southampton,151.16,1,2,0
female,25.0,1st,Southampton,151.16,1,2,0
male,18.0,3rd,Southampton,8.06,0,0,0
male,19.0,3rd,Cherbourg,7.0407,0,0,0
female,19.0,3rd,Southampton,7.1701,1,0,1
male,33.0,3rd,Southampton,22.1006,0,0,0
male,47.0,1st,Southampton,26.11,0,0,1
male,4.0,3rd,Southampton,31.0506,4,2,0
female,6.0,3rd,Southampton,31.0506,4,2,0
female,2.0,3rd,Southampton,31.0506,4,2,0
female,16.0,3rd,Southampton,7.1806,4,2,1
female,38.0,3rd,Southampton,7.1506,4,2,0
female,9.0,3rd,Southampton,31.0506,4,2,0
female,11.0,3rd,Southampton,31.0506,4,2,0
male,39.0,3rd,Southampton,31.0506,1,5,0
male,26.0,3rd,Southampton,7.1506,0,0,0
female,39.0,3rd,Southampton,31.0506,1,5,0
male,20.0,3rd,Southampton,7.1701,0,0,0
male,17.0,2nd,Southampton,11.1,0,0,0
male,27.0,2nd,Southampton,10.1,0,0,0
female,62.0,1st,Cherbourg,77.1902,1,0,1
male,39.0,1st,Belfast,89.0,0,0,0
male,26.0,3rd,Southampton,7.1711,0,0,0
female,36.0,2nd,Southampton,26.0,1,0,1
male,31.0,2nd,Southampton,26.0,1,0,0
female,53.0,1st,Southampton,51.0907,2,0,1
male,25.0,3rd,Southampton,17.16,1,0,0
female,18.0,3rd,Southampton,17.16,1,0,0
male,25.0,3rd,Southampton,7.1506,0,0,0
male,71.0,1st,Cherbourg,49.1001,0,0,0
male,57.0,2nd,Southampton,13.0,0,0,0
male,35.0,3rd,Southampton,7.01,0,0,0
male,5.0,3rd,Southampton,31.0709,4,2,0
male,9.0,3rd,Southampton,31.0709,4,2,0
male,3.0,3rd,Southampton,31.0709,4,2,1
male,13.0,3rd,Southampton,31.0709,4,2,0
female,5.0,3rd,Southampton,31.0709,4,2,1
male,40.0,3rd,Southampton,31.0709,1,5,0
male,13.0,3rd,Southampton,7.1511,0,0,1
female,38.0,3rd,Southampton,31.0709,1,5,1
female,45.0,3rd,Cherbourg,7.0406,0,0,1
male,23.0,3rd,Southampton,7.01,0,0,0
male,47.0,1st,Cherbourg,247.1006,1,0,0
female,18.0,1st,Cherbourg,247.1006,1,0,1
female,17.0,3rd,Cherbourg,14.0902,0,0,0
male,27.0,3rd,Cherbourg,7.0406,0,0,0
female,24.0,1st,Cherbourg,69.06,0,0,1
male,23.0,3rd,Southampton,7.1701,0,0,0
female,15.0,3rd,Cherbourg,7.0407,0,0,1
male,32.0,3rd,Southampton,15.17,1,0,0
female,33.0,3rd,Southampton,15.17,3,0,1
female,3.0,3rd,Cherbourg,19.0502,2,1,1
female,0.75,3rd,Cherbourg,19.0502,2,1,1
female,5.0,3rd,Cherbourg,19.0502,2,1,1
female,23.0,3rd,Cherbourg,19.0502,0,3,1
